Time,Alabama (Index),Alaska (Index),Arizona (Index),Arkansas (Index),California (Index),Colorado (Index),Connecticut (Index),Delaware (Index),Florida (Index),Georgia (Index),Hawaii (Index),Idaho (Index),Illinois (Index),Indiana (Index),Iowa (Index),Kansas (Index),Kentucky (Index),Louisiana (Index),Maine (Index),Maryland (Index),Massachusetts (Index),Michigan (Index),Minnesota (Index),Mississippi (Index),Missouri (Index),Montana (Index),Nebraska (Index),Nevada (Index),New Hampshire (Index),New Jersey (Index),New Mexico (Index),New York (Index),North Carolina (Index),North Dakota (Index),Ohio (Index),Oklahoma (Index),Oregon (Index),Pennsylvania (Index),Rhode Island (Index),South Carolina (Index),South Dakota (Index),Tennessee (Index),Texas (Index),Utah (Index),Vermont (Index),Virginia (Index),Washington (Index),Washington DC (Index),West Virginia (Index),Wisconsin (Index),Wyoming (Index)
2018/1,310.4,322.32,387.99,278.96,623.75,536.72,393.03,452.97,434.09,349.58,612.37,389.17,339.1,287.82,290,277.84,335.39,280.05,521.62,464.89,765.37,321.42,383.32,265.86,319.78,444.81,315.57,361,458.55,510.1,315.78,660.69,365.88,361.84,282.09,237.52,540.05,416.99,545.07,377.77,370.85,365.88,317.79,451.06,471.65,452.21,598.96,847.01,226.28,342.14,311.38
2018/2,315.08,326.57,395.94,281.04,635.74,550.47,396.37,456.07,442.29,357.77,617.09,406.52,341.14,294.9,295.44,283.16,339.42,280.55,531.28,469.17,780.06,329.5,392.22,265.72,324.97,453.92,322.15,376.25,468.05,514.24,320.55,668.92,374.63,363.26,288.31,241.09,553.44,422.8,551.99,382.11,374.4,374.26,324.72,465.89,477.86,457.35,620.36,858.54,229.42,350.6,309.81
2018/3,317.94,326.27,405.21,283.64,643.76,558.69,399.78,457.89,449.37,363.34,622.85,417.83,342.42,298.32,297.82,284.19,342.44,282.39,537.95,470.02,789.45,334.57,396.98,267.22,328.19,458.2,327.03,387.23,474.67,518.08,324.01,679.91,379.41,362.7,292.64,242.28,559.49,426.81,559.76,387.52,379.72,379.47,328.7,475.57,479.62,459.88,627.18,862.93,228.89,354.89,315.09
2018/4,318.77,326.35,409.71,285.93,643.63,560.46,398.2,461.42,452.76,365.38,626.12,425.03,341.95,300.6,298.26,287.09,344.01,282.66,541.07,468.08,790.59,335.52,396.42,269.17,330.99,463.91,328.09,393.1,476.79,518.58,326.47,680.85,381.84,365.01,293.27,243.04,560.6,427.22,561.84,389.66,383.83,383.41,329.84,481.57,477.36,460.54,628.92,875.38,228.7,356.21,317.38
2019/1,324.76,328.56,415,288,647.55,568.32,400.05,465.27,460.07,370.97,633.09,433.57,344.97,304.72,300.1,288.71,347.46,285.86,544.85,473.21,800.08,339.89,400.84,272.35,333.61,466.07,332.13,395.83,481.31,523.08,328.48,686.14,387.82,367.5,296.54,246.47,567.19,431.87,566.62,394.61,385.86,387.2,333.77,489.68,482.74,465.48,637.33,880.12,229.42,359.79,316.78
2019/2,329.29,333.38,423.07,291.57,654.05,577.06,406.49,471.91,465.93,378.3,635.48,448.67,349.82,310.25,303.8,294.13,352.95,288.51,558.22,480.78,811.85,346.77,408.48,275.67,339.86,475.68,339.5,401.68,490.76,530.74,336.24,697.59,394.72,372.61,302.87,248.34,576.55,439.91,577.32,402.61,391.65,394.73,339.85,499.78,492.75,474.66,650.1,887.19,232.65,366.18,325.31
2019/3,333.92,335.87,429.47,294.85,660.81,582.26,411.07,477.52,473.66,383.65,641.46,458.6,353.17,314.89,306.78,297.96,358.29,290.74,565.32,485.97,821.26,350.86,413.23,279.35,343.76,483.04,342.27,405.22,497.68,538.7,342.32,707.48,399.19,375.15,307.34,252.84,583.28,445.73,584.12,407.8,396.51,400.61,343.96,507.66,499.71,479.7,658.33,900.92,234.58,370.89,330.08
2019/4,337.94,335.41,436.69,298.09,664.95,587.02,413.49,481,479.78,387.47,647.59,469.26,354.9,318.23,308.86,299.84,360.75,293.04,573.1,487.68,828.81,353.19,415.47,280.45,348.37,489.24,344.3,408.08,503.71,542.44,345.14,715.36,404.74,377.21,310.15,254.85,588.77,448.7,591.38,412.2,401.18,405.65,346.5,515.2,501.78,483.29,665.6,907.38,237.55,373.16,334.2
2020/1,342.22,338.77,445.49,299.58,670.96,593.18,415.26,486.69,486.85,393.29,646.88,479.99,356.44,321.69,310.86,303.55,364.21,296.01,579.63,492.66,837.22,356.56,419.33,285.28,352.03,496.58,348.37,412.73,509.8,546.98,350.18,722.27,410.44,378.07,314.72,258.12,594.5,454.37,596.47,417.91,406.16,411.91,350.22,521.83,508.11,488.23,676.66,913.29,239.48,376.27,337.57
2020/2,346.81,342.47,453.4,301.99,678.57,600.41,419.43,490.92,493.51,397.35,654.77,489.22,358.25,325.39,312.6,306.84,368.41,298.52,587.38,497.43,845.93,360.37,422.85,285.17,354.81,498.31,350.93,417.39,517.91,552.31,354.61,728.03,413.85,377.68,317.39,260.17,602.34,458.02,603.78,421.06,408.67,416.02,352.81,531.54,511.98,493.87,687.39,915.8,241.14,378.9,339.72
2020/3,354.08,346.35,464.45,306.88,686.25,609.9,428.51,501.29,502.18,405.26,647.75,506.7,362.13,332.64,315.57,313.12,375.46,301.31,600.89,503.74,860.81,368.32,431.88,289.54,361.14,511.42,356.01,424.15,529.66,561.92,361.76,740.15,421.71,383.38,325.25,264.21,612.6,468.23,617.08,428.2,414.28,425.72,358.33,544.34,521.58,502.4,702.91,926.67,245.72,386.44,344.74
2020/4,360.92,350.37,480.02,313.93,699.96,622.08,440.18,509.19,514.74,413.52,658.62,529.9,366.43,340.52,320.52,319.57,382.75,305.03,622.07,513.14,877.92,375.6,439.63,294.82,368.48,527.3,363.28,433.09,545.74,573.69,369.24,756.54,432.04,388.49,332.85,268.78,629.19,476.38,634.92,436.8,423.83,434.86,366.06,562.74,537.75,511.38,720.84,947.24,249.41,394.15,351.34
2021/1,367.29,352.78,500.26,318.99,718.19,637.77,451.11,523.62,529.88,424.21,667.27,557.65,370.25,346.75,323.02,324.87,389.25,308.28,640.17,523.75,895.47,382.9,445.86,298.27,374.89,544.03,368.9,447.58,560.29,586.93,379.31,773.63,441.19,388.46,338.47,273.91,649.3,486.86,650.7,446.2,428.94,446.21,374.15,583.91,551.08,521.6,740.94,954.97,253.24,398.87,356.87
2021/2,383.58,365.89,538.34,333.82,759.15,683,473.68,544.53,562.5,447.24,694.55,616.25,386.53,366.39,338.55,343.42,407.47,316.3,677.1,547.71,941.73,404.13,469.65,308.12,397.33,583.18,389.56,475.85,593.31,613.74,393.91,799.97,465.63,398.59,355.49,284.73,691.8,507.3,689.26,469.37,456.56,471.84,395.16,640.44,573.89,544.48,796.02,993.85,258.88,420.06,371.11
